Cryptocurrency,Price
BitcoinBTC,95554.86
EthereumETH,3627.58
TetherUSDT,1.0
SolanaSOL,237.17
BNBBNB,658.38
XRPXRP,1.47
DogecoinDOGE,0.403
USDCUSDC,1.0
CardanoADA,0.9992
AvalancheAVAX,42.34
TRONTRX,0.2
ToncoinTON,6.44
Shiba InuSHIB,0.0
StellarXLM,0.48
PolkadotDOT,8.22
ChainlinkLINK,18.04
SuiSUI,3.55
Bitcoin CashBCH,505.33
PepePEPE,0.0
NEAR ProtocolNEAR,6.68
UNUS SED LEOLEO,8.49
UniswapUNI,12.91
LitecoinLTC,95.18
AptosAPT,12.57
DaiDAI,1.0
Internet ComputerICP,11.28
HederaHBAR,0.14
Ethereum ClassicETC,32.69
CronosCRO,0.18
POL (ex-MATIC)POL,0.56
BittensorTAO,571.75
RenderRENDER,8.14
KaspaKAS,0.15
ArbitrumARB,0.92
CelestiaTIA,8.44
Artificial Superintelligence AllianceFET,1.47
FilecoinFIL,5.66
StacksSTX,2.28
VeChainVET,0.04
BonkBONK,0.0
MANTRAOM,3.56
OKBOKB,53.6
CosmosATOM,8.03
AaveAAVE,205.86
dogwifhatWIF,3.08
OptimismOP,2.36
ImmutableIMX,1.76
MantleMNT,0.87
MoneroXMR,158.25
InjectiveINJ,29.17
FantomFTM,1.03
SeiSEI,0.65
AlgorandALGO,0.29
The GraphGRT,0.25
Bitget TokenBGB,1.61
FLOKIFLOKI,0.0
First Digital USDFDUSD,1.0
EthenaENA,0.71
Theta NetworkTHETA,1.98
THORChainRUNE,5.42
WorldcoinWLD,2.59
Pyth NetworkPYTH,0.47
Brett (Based)BRETT,0.16
MakerMKR,1832.0
RaydiumRAY,5.4
Lido DAOLDO,1.71
OndoONDO,1.07
JupiterJUP,1.1
The SandboxSAND,0.6
KuCoin TokenKCS,11.71
ArweaveAR,21.17
Bitcoin SVBSV,69.7
FlowFLOW,0.87
GalaGALA,0.04
StarknetSTRK,0.62
BitTorrent [New]BTT,0.0
Ethereum Name ServiceENS,37.78
TezosXTZ,1.25
PolygonMATIC,0.56
JasmyCoinJASMY,0.03
Popcat (SOL)POPCAT,1.26
EOSEOS,0.8
BeamBEAM,0.02
FlareFLR,0.02
Axie InfinityAXS,7.54
DecentralandMANA,0.59
HeliumHNT,6.65
QuantQNT,92.87
Peanut the SquirrelPNUT,1.12
KaiaKAIA,0.19
MultiversXEGLD,37.75
NeoNEO,14.67
dYdX (Native)DYDX,1.6
GateTokenGT,11.36
CoreCORE,1.09
Akash NetworkAKT,4.04
ApeCoinAPE,1.32
Aerodrome FinanceAERO,1.41
Mog CoinMOG,0.0
eCashXEC,0.0
BitcoinBTC,101735.64
EthereumETH,3876.73
TetherUSDT,0.9997
XRPXRP,2.41
SolanaSOL,220.05
BNBBNB,714.33
DogecoinDOGE,0.3975
USDCUSDC,0.9999
CardanoADA,1.07
TRONTRX,0.2803
AvalancheAVAX,49.66
ChainlinkLINK,29.19
Shiba InuSHIB,0.0
ToncoinTON,6.22
PolkadotDOT,8.53
SuiSUI,4.44
StellarXLM,0.42
HederaHBAR,0.29
Bitcoin CashBCH,532.47
UniswapUNI,16.61
PepePEPE,0.0
LitecoinLTC,117.44
UNUS SED LEOLEO,9.38
NEAR ProtocolNEAR,6.61
AptosAPT,13.29
Internet ComputerICP,12.87
Ethena USDeUSDe,1.0
AaveAAVE,372.5
DaiDAI,1.0
POL (ex-MATIC)POL,0.6
Ethereum ClassicETC,32.91
RenderRENDER,9.06
CronosCRO,0.18
VeChainVET,0.06
Bitget TokenBGB,3.09
Artificial Superintelligence AllianceFET,1.72
MantleMNT,1.23
BittensorTAO,555.54
ArbitrumARB,0.98
FilecoinFIL,6.43
KaspaKAS,0.16
MoneroXMR,209.41
MANTRAOM,3.86
AlgorandALGO,0.42
CosmosATOM,8.86
FantomFTM,1.23
StacksSTX,2.23
EthenaENA,1.13
OKBOKB,53.57
CelestiaTIA,6.86
OptimismOP,2.44
ImmutableIMX,1.79
dogwifhatWIF,2.81
BonkBONK,0.0
InjectiveINJ,27.26
Theta NetworkTHETA,2.6
The GraphGRT,0.27
OndoONDO,1.85
Virtuals ProtocolVIRTUAL,2.46
SeiSEI,0.57
WorldcoinWLD,2.93
FLOKIFLOKI,0.0
JasmyCoinJASMY,0.04
THORChainRUNE,6.21
First Digital USDFDUSD,1.0
Lido DAOLDO,2.24
GalaGALA,0.05
The SandboxSAND,0.73
MakerMKR,1933.15
BeamBEAM,0.03
KaiaKAIA,0.28
Brett (Based)BRETT,0.17
FlareFLR,0.03
QuantQNT,136.04
